path,create_time,contributors,pull_request,star
https://github.com/boardgameio/boardgame.io,2017/11/21 0:00,125,475,8743
https://github.com/StackExchange/StackExchange.Redis,2014/3/14 0:00,160,465,4818
https://github.com/statsd/statsd,2010/12/30 0:00,206,453,15862
https://github.com/remy/nodemon,2010/10/3 0:00,146,450,22610
https://github.com/jessesquires/JSQMessagesViewController,2013/2/17 0:00,104,450,11234
https://github.com/lib/pq,2012/3/12 0:00,111,450,6634
https://github.com/Supervisor/supervisor,2010/12/8 0:00,132,442,6891
https://github.com/cheat/cheat,2013/7/30 0:00,150,440,7466
https://github.com/hugapi/hug,2015/7/17 0:00,104,440,6515
https://github.com/systemjs/systemjs,2013/5/14 0:00,106,439,11583
https://github.com/Maatwebsite/Laravel-Excel,2013/11/9 0:00,148,437,9990
https://github.com/blei-lab/edward,2016/2/10 0:00,83,437,4640
https://github.com/mozilla/nunjucks,2012/8/9 0:00,137,431,7367
https://github.com/hybridgroup/gobot,2013/9/21 0:00,127,429,7222
https://github.com/beefproject/beef,2011/11/23 0:00,123,425,5802
https://github.com/golang/protobuf,2014/11/23 0:00,89,414,7742
https://github.com/graphql/graphql-spec,2015/7/1 0:00,113,409,13378
https://github.com/protobufjs/protobuf.js,2013/3/1 0:00,84,402,7570
https://github.com/laravel/socialite,2014/8/18 0:00,103,400,4872
https://github.com/facebook/fresco,2015/3/2 0:00,204,398,16609
https://github.com/guard/guard,2010/8/2 0:00,165,397,5994
https://github.com/preservim/nerdtree,2008/3/10 0:00,120,396,15510
https://github.com/segmentio/nightmare,2014/4/5 0:00,114,392,18922
https://github.com/blue-yonder/tsfresh,2016/10/26 0:00,72,391,5754
https://github.com/nasa/fprime,2017/6/22 0:00,84,390,8232
https://github.com/mbleigh/acts-as-taggable-on,2008/3/21 0:00,174,388,4773
https://github.com/iron/iron,2014/6/10 0:00,134,380,5918
https://github.com/skwp/dotfiles,2011/11/17 0:00,102,365,6724
https://github.com/skwp/dotfiles,2011/11/17 0:00,102,365,6724
https://github.com/localForage/localForage,2013/10/31 0:00,103,362,19165
https://github.com/FluentValidation/FluentValidation,2009/12/20 0:00,183,360,6420
https://github.com/artf/grapesjs,2016/1/22 0:00,98,359,13540
https://github.com/luin/ioredis,2015/4/2 0:00,125,344,9179
https://github.com/sebastianbergmann/php-code-coverage,2009/5/28 0:00,99,343,7869
https://github.com/mleibman/SlickGrid,2009/12/17 0:00,51,333,6721
https://github.com/davidhalter/jedi-vim,2012/9/18 0:00,85,317,4806
https://github.com/YOURLS/YOURLS,2012/8/22 0:00,84,309,7295
https://github.com/node-formidable/formidable,2010/5/7 0:00,85,306,5935
https://github.com/facebook/prophet,2016/11/16 0:00,124,304,12980
https://github.com/ptomasroos/react-native-scrollable-tab-view,2015/6/11 0:00,77,298,6711
https://github.com/deployd/deployd,2011/9/11 0:00,52,297,5018
https://github.com/Shougo/deoplete.nvim,2014/11/27 0:00,87,294,5604
https://github.com/yhirose/cpp-httplib,2012/9/22 0:00,98,287,5220
https://github.com/electron/electron-api-demos,2015/10/16 0:00,53,284,9787
https://github.com/json-path/JsonPath,2011/1/24 0:00,71,283,6027
https://github.com/typicode/husky,2014/6/23 0:00,82,275,23304
https://github.com/olton/Metro-UI-CSS,2012/3/9 0:00,51,269,6778
https://github.com/golang/mock,2015/6/12 0:00,78,269,5810
https://github.com/agrosner/DBFlow,2014/9/17 0:00,57,265,4816
https://github.com/actix/actix,2017/9/18 0:00,104,262,6416
https://github.com/amsul/pickadate.js,2012/11/16 0:00,114,261,7744
https://github.com/foundation/foundation-emails,2013/9/18 0:00,109,257,7485
https://github.com/mdbootstrap/perfect-scrollbar,2012/11/6 0:00,99,249,8426
https://github.com/hammerjs/hammer.js,2012/3/2 0:00,87,247,22413
https://github.com/dropzone/dropzone,2012/2/12 0:00,67,238,15764
https://github.com/github/markup,2009/10/31 0:00,90,238,5188
https://github.com/Laverna/laverna,2014/1/21 0:00,89,229,8715
https://github.com/BetterErrors/better_errors,2012/12/8 0:00,90,223,6714
https://github.com/fluent-ffmpeg/node-fluent-ffmpeg,2011/4/12 0:00,86,218,5801
https://github.com/lanpa/tensorboardX,2017/6/13 0:00,66,217,7013
https://github.com/js-cookie/js-cookie,2015/3/19 0:00,53,216,17741
https://github.com/jhen0409/react-native-debugger,2016/5/29 0:00,55,209,8667
https://github.com/konvajs/konva,2015/1/9 0:00,144,205,6389
https://github.com/xojs/xo,2015/8/1 0:00,71,204,5924
https://github.com/major/MySQLTuner-perl,2009/5/29 0:00,93,203,6929
